dimensions : physiques / acteurs / concepts / rapports;niveau;nombre;Type de source;Nb de source;Type de destination;Nb de destination;Type de pr‚dicat;Nb de pr‚dicat;complexit‚;;;;;;;;;;;;;;;
physique;1;6;;;;;;;6;;;;;;;;;;;;;;;
phisique;2;2;;;;;;;4;;;;;;;;;;;;;;;
somme;2;8;;;;;;;10;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
acteurs;1;2;;;;;;;2;;;;;;;;;;;;;;;
somme;1;2;;;;;;;2;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
concepts;1;3;;;;;;;3;;;;;;;;;;;;;;;
concepts;2;7;;;;;;;14;;;;;;;;;;;;;;;
somme;2;10;;;;;;;17;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
rapports;1;1;concept;1;phisique;3;acteur;1;6;;;;;;;;;;;;;;;
rapports;1;1;phisique;1;acteur;1;concept;1;4;;;;;;;;;;;;;;;
rapports;1;1;concept;1;phisique;1;acteur;1;4;;;;;;;;;;;;;;;
rapports;1;1;phisique;1;acteur;1;concept;1;4;;;;;;;;;;;;;;;
rapports;1;1;acteur;1;acteur;1;concept;1;4;;;;;;;;;;;;;;;
rapports;1;1;acteur;1;phisique;1;concept;1;4;;;;;;;;;;;;;;;
rapports;1;1;phisique;1;acteur;1;concept;1;4;;;;;;;;;;;;;;;
somme;1;7;;7;;9;;7;30;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Totale;6;27;;;;;;;52;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
